[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.047664, pitch: -0.090781, roll: -0.022457, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.047664
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.047278, pitch: -0.090045, roll: -0.022275, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.047278
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.046884, pitch: -0.089295, roll: -0.022090, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.046884
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.046483, pitch: -0.088531, roll: -0.021901, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.046483
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.046074, pitch: -0.087753, roll: -0.021708, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.046074
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.045658, pitch: -0.086960, roll: -0.021512, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.045658
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.045234, pitch: -0.086153, roll: -0.021312, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.045234
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.044803, pitch: -0.085332, roll: -0.021109, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.044803
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.044364, pitch: -0.084496, roll: -0.020903, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.044364
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.043918, pitch: -0.083646, roll: -0.020692, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.043918
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.043464, pitch: -0.082782, roll: -0.020479, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.043464
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.043003, pitch: -0.081904, roll: -0.020261, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.043003
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.042534, pitch: -0.081011, roll: -0.020040, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.042534
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.042058, pitch: -0.080104, roll: -0.019816, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.042058
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.041575, pitch: -0.079183, roll: -0.019588, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.041575
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.041083, pitch: -0.078247, roll: -0.019357, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.041083
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.040585, pitch: -0.077297, roll: -0.019122, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.040585
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.040078, pitch: -0.076333, roll: -0.018883, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.040078
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.039565, pitch: -0.075355, roll: -0.018641, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.039565
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.039044, pitch: -0.074362, roll: -0.018396, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.039044
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.038515, pitch: -0.073355, roll: -0.018146, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.038515
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.037979, pitch: -0.072334, roll: -0.017894, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.037979
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.037435, pitch: -0.071298, roll: -0.017638, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.037435
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.036884, pitch: -0.070249, roll: -0.017378, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.036884
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.036325, pitch: -0.069184, roll: -0.017115, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.036325
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.035759, pitch: -0.068106, roll: -0.016848, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.035759
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.035185, pitch: -0.067013, roll: -0.016578, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.035185
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.034604, pitch: -0.065906, roll: -0.016304, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.034604
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.034015, pitch: -0.064785, roll: -0.016026, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.034015
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.033419, pitch: -0.063650, roll: -0.015746, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.033419
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.032815, pitch: -0.062500, roll: -0.015461, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.032815
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.032204, pitch: -0.061336, roll: -0.015173, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.032204
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.031585, pitch: -0.060157, roll: -0.014882, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.031585
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.030959, pitch: -0.058965, roll: -0.014587, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.030959
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.030326, pitch: -0.057758, roll: -0.014288, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.030326
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.029684, pitch: -0.056537, roll: -0.013986, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.029684
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.029036, pitch: -0.055301, roll: -0.013680, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.029036
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.028381, pitch: -0.054055, roll: -0.013372, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.028381
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.027733, pitch: -0.052819, roll: -0.013066, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.027733
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.027091, pitch: -0.051598, roll: -0.012764, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.027091
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.026458, pitch: -0.050391, roll: -0.012466, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.026458
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.025832, pitch: -0.049199, roll: -0.012171, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.025832
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.025213, pitch: -0.048020, roll: -0.011879, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.025213
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.024602, pitch: -0.046856, roll: -0.011591, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.024602
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.023998, pitch: -0.045706, roll: -0.011307, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.023998
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.023402, pitch: -0.044571, roll: -0.011026, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.023402
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.022813, pitch: -0.043450, roll: -0.010748, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.022813
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.022232, pitch: -0.042343, roll: -0.010475, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.022232
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.021658, pitch: -0.041250, roll: -0.010204, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.021658
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.021092, pitch: -0.040172, roll: -0.009938, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.021092
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.020533, pitch: -0.039108, roll: -0.009674, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.020533
[122/11/27: 23:30:22][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.019982, pitch: -0.038058, roll: -0.009415, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.019982
[122/11/27: 23:30:23][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.019438, pitch: -0.037022, roll: -0.009158, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.019438
[122/11/27: 23:30:23][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.018902, pitch: -0.036001, roll: -0.008906, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.018902
[122/11/27: 23:30:23][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.018373, pitch: -0.034994, roll: -0.008657, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.018373
[122/11/27: 23:30:23][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.017852, pitch: -0.034001, roll: -0.008411, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.017852
[122/11/27: 23:30:23][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.017339, pitch: -0.033023, roll: -0.008169, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.017339
[122/11/27: 23:30:23][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.016832, pitch: -0.032059, roll: -0.007931, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.016832
